ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Children_CometTail_Count,Intensity_IntegratedIntensityEdge_CorrGray,Intensity_IntegratedIntensity_CorrGray,Intensity_LowerQuartileIntensity_CorrGray,Intensity_MADIntensity_CorrGray,Intensity_MassDisplacement_CorrGray,Intensity_MaxIntensityEdge_CorrGray,Intensity_MaxIntensity_CorrGray,Intensity_MeanIntensityEdge_CorrGray,Intensity_MeanIntensity_CorrGray,Intensity_MedianIntensity_CorrGray,Intensity_MinIntensityEdge_CorrGray,Intensity_MinIntensity_CorrGray,Intensity_StdIntensityEdge_CorrGray,Intensity_StdIntensity_CorrGray,Intensity_UpperQuartileIntensity_CorrGray,Location_CenterMassIntensity_X_CorrGray,Location_CenterMassIntensity_Y_CorrGray,Location_CenterMassIntensity_Z_CorrGray,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_CorrGray,Location_MaxIntensity_Y_CorrGray,Location_MaxIntensity_Z_CorrGray,Number_Object_Number,Texture_AngularSecondMoment_CorrGray_10_00,Texture_AngularSecondMoment_CorrGray_10_01,Texture_AngularSecondMoment_CorrGray_10_02,Texture_AngularSecondMoment_CorrGray_10_03,Texture_Contrast_CorrGray_10_00,Texture_Contrast_CorrGray_10_01,Texture_Contrast_CorrGray_10_02,Texture_Contrast_CorrGray_10_03,Texture_Correlation_CorrGray_10_00,Texture_Correlation_CorrGray_10_01,Texture_Correlation_CorrGray_10_02,Texture_Correlation_CorrGray_10_03,Texture_DifferenceEntropy_CorrGray_10_00,Texture_DifferenceEntropy_CorrGray_10_01,Texture_DifferenceEntropy_CorrGray_10_02,Texture_DifferenceEntropy_CorrGray_10_03,Texture_DifferenceVariance_CorrGray_10_00,Texture_DifferenceVariance_CorrGray_10_01,Texture_DifferenceVariance_CorrGray_10_02,Texture_DifferenceVariance_CorrGray_10_03,Texture_Entropy_CorrGray_10_00,Texture_Entropy_CorrGray_10_01,Texture_Entropy_CorrGray_10_02,Texture_Entropy_CorrGray_10_03,Texture_InfoMeas1_CorrGray_10_00,Texture_InfoMeas1_CorrGray_10_01,Texture_InfoMeas1_CorrGray_10_02,Texture_InfoMeas1_CorrGray_10_03,Texture_InfoMeas2_CorrGray_10_00,Texture_InfoMeas2_CorrGray_10_01,Texture_InfoMeas2_CorrGray_10_02,Texture_InfoMeas2_CorrGray_10_03,Texture_InverseDifferenceMoment_CorrGray_10_00,Texture_InverseDifferenceMoment_CorrGray_10_01,Texture_InverseDifferenceMoment_CorrGray_10_02,Texture_InverseDifferenceMoment_CorrGray_10_03,Texture_SumAverage_CorrGray_10_00,Texture_SumAverage_CorrGray_10_01,Texture_SumAverage_CorrGray_10_02,Texture_SumAverage_CorrGray_10_03,Texture_SumEntropy_CorrGray_10_00,Texture_SumEntropy_CorrGray_10_01,Texture_SumEntropy_CorrGray_10_02,Texture_SumEntropy_CorrGray_10_03,Texture_SumVariance_CorrGray_10_00,Texture_SumVariance_CorrGray_10_01,Texture_SumVariance_CorrGray_10_02,Texture_SumVariance_CorrGray_10_03,Texture_Variance_CorrGray_10_00,Texture_Variance_CorrGray_10_01,Texture_Variance_CorrGray_10_02,Texture_Variance_CorrGray_10_03
1,1,5666,319.0,53.0,1.0,1.4801028950475377,0.91533691582339938,1.0,0.76464237516869094,0.46971811446393719,135.33266654737375,129.31357237351384,25.495097567963924,10.522628402880221,9.8994949366116654,54.549804894251324,54.496959323729328,-2.1505962608180984,389.33599999999888,0.91173867567784994,0.43069502661774178,0.015916364453379853,0.15502671933131754,0.099187991002441842,0.010101508066398014,0.011479939451539014,0.028558653570867041,0.064420691580221859,0.034093651668964033,0.0031729716751108272,0.0050994174497120603,0.0066466370415735844,0.014030686772644759,0.0081815139045177954,0.01610191266504717,0.013319021627649891,0.0014107753510754235,0.0014226147731621701,0.0031936712154219692,0.0033833593755907025,0.00012852757462422103,0.003937214896705548,0.0085048662695055358,0.0016376437046712949,0.0058902345645711609,0.0012668092204909263,0.0027013502795692431,0.0023634912112694474,0.0034890479643970599,0.0016603354484677987,1,17.211765643209219,1269.254935130477,0.08235294371843338,0.050980396568775177,20.334580098861561,0.08235294371843338,0.99215686321258545,0.053287200133774672,0.22401251943707676,0.12156863510608673,0.039215683937072754,0.039215683937072754,0.0065396375453953158,0.23933002044365428,0.23921568691730499,331.0164557548872,52.467166158435695,0.0,351.33621602541473,51.690963642781504,0,308.0,50.0,0.0,1,0.0008307394008924998,0.00052999906753660605,0.00056818181818188657,0.00052675304493443294,1872.950049554014,4105.6522359657465,2902.5840909090912,4530.3643210167102,0.7655998777258658,0.53895022181664465,0.66886831893135645,0.4874039234872975,5.7216313969472683,6.4264292417805056,6.1922133556546308,6.4754427004459538,0.00013200041501042531,6.8667425568339898e-05,8.1604966722330306e-05,6.8007752471270055e-05,11.124460240016145,11.515729214585187,11.474267100750447,11.517927277074548,-0.31526398413110185,-0.27554650875337278,-0.2876777997002945,-0.27383850668966603,0.99219247655977649,0.98730981388955064,0.98936144107040103,0.98697683485548127,0.11487480991820539,0.066913698778715669,0.07956697085515145,0.070131808264018228,121.93161546085227,130.67364414842999,130.67500000000013,130.04754059778767,7.6684516165569878,7.7543871530691781,7.7726750838713077,7.8032271818427255,14107.844084704462,13704.364947614595,14628.713920454531,13145.792515132805,3995.1985335646195,4452.5042958950817,4382.8245028409092,4419.0392090373753
1,2,5425,342.0,157.0,1.0,1.4474291972655684,0.90798913538012327,1.0,0.78760162601626016,0.56385865168135729,130.20944888432771,123.04470732217619,27.658633371878661,10.600681762335409,10.0,55.0,54.556940222362272,-1.5911305294042295,347.71199999999908,0.9142231209976408,0.4562301539093962,0.025964795656674436,0.15199822676052382,0.10552489428826288,0.014904700236799587,0.012917108177730346,0.024611189476788298,0.060560650418637015,0.034714265433335674,0.0053720367639136773,0.0094567016952440981,0.0068121592223849472,0.011925093470438287,0.0055695444897134313,0.01049029203494419,0.013001392482666284,0.0015137203906362611,0.0041323555915525377,0.0070195742749842513,0.003494821115522408,0.0013079494724222861,0.003197577229994236,0.012716016520907395,0.0047740071582385076,0.0052395524545847437,0.0036693983140941898,0.003715541255163551,0.0081730321397242758,0.0045419834803991123,0.0013672159702727024,1,15.854902643710375,1184.3804187066853,0.074509806931018829,0.035294115543365479,20.222271649055163,0.070588238537311554,0.99215686321258545,0.053563860282805319,0.21831897119017241,0.098039217293262482,0.035294119268655777,0.035294119268655777,0.0055390802327456431,0.25433751059938131,0.22254902124404907,348.56041890318539,156.03181608075892,0.0,368.78009216589862,155.70764976958526,0,338.0,153.0,0.0,2,0.0013595909369341446,0.0010345054764474076,0.0013646356709355926,0.0010683164196796753,2825.3237199582027,5100.7262262262248,2834.4821683309551,5069.6852540272603,0.69123961072761364,0.49952716190199592,0.71638805483588752,0.50036125895378636,5.8864755303449261,6.3742394684457011,5.9488443914559648,6.343927695339489,0.00013447156757424115,8.5393091359408456e-05,0.00011666444725782219,9.1787694005346322e-05,10.695016297492897,10.941119212704663,10.82874055444087,10.916830367880706,-0.29751004869411474,-0.27586400876954759,-0.30282060109916464,-0.27580532982850503,0.98802638371171603,0.98480375240838147,0.98945511423651222,0.98467094751446371,0.13761159578951823,0.094355804585695896,0.11975580985994809,0.092356566034579132,119.90637408568449,128.99399399399405,129.04422253922976,128.4366790582404,7.4644654371482941,7.544770915563987,7.4467331097769591,7.5289704263989128,15475.752571701236,15282.902366330283,17153.971891252404,15223.71810941743,4575.2690729148599,5095.9071481391311,4997.1135148958383,5073.350840861176
1,3,4955,694.0,441.0,1.0,1.6325994744346037,0.93535972699012204,1.0,0.78389495333016923,0.47410784853909599,135.08782940763149,128.191263352851,23.0,9.4851037625303185,9.0,47.023600763247899,47.780277120020386,-1.0975691372339016,362.39999999999918,0.90452719970792261,0.38370585185151868,0.018944167573575834,0.14146732883941929,0.093958516007144971,0.0078571147769888761,0.0110778642955885,0.037238487510954932,0.062345879229104263,0.037276517484675926,0.0029293819812387669,0.0070906674090657042,0.0054222796857119086,0.017814807321328906,0.01660311726750794,0.021911226857915904,0.017308325484878356,0.00074952523984923099,0.0032994312653557411,0.003844903377504115,0.0025474290240748085,0.0041230464548369832,0.0019754519680387351,0.0015333362745364959,0.0053788468853139823,0.0087962914988491941,0.0012890206669816133,0.00045912650629255727,0.0017773174393448739,0.0036658429442409908,0.0017863894046381984,1,16.776471637189388,1169.4510058499873,0.078431375324726105,0.043137252330780029,20.598255216445914,0.10588235408067703,0.98823529481887817,0.053598950917537982,0.23601433014126888,0.10980392247438431,0.039215687662363052,0.039215687662363052,0.0069512437676659935,0.27943532272243488,0.23137255012989044,701.58956463977961,441.11037187709638,0.0,722.17618567103932,440.41816347124114,0,675.0,441.0,0.0,3,0.0029422027775848187,0.0010871825230435305,0.0013787958720904144,0.00095540853337700168,2574.6888334089872,7063.5084127874352,6023.6337414965974,7441.0248939179637,0.7648607977793368,0.43072796173145361,0.51420820120470201,0.39819017811016333,5.6468057251124035,6.5703114162242278,6.4265320529949346,6.5757929401258046,0.00015762021718931929,6.923383306185529e-05,7.9105403638237345e-05,7.0560062126623374e-05,10.458562580394625,10.951477462270587,10.902854134536465,10.918882239637465,-0.31051973742040234,-0.2414018289450541,-0.25753775679099994,-0.24141643668676471,0.98924343058403452,0.97495681190773786,0.97987800743094966,0.97473406588241707,0.16821551690151471,0.091416360926992637,0.10387006944678839,0.07084580440479317,129.36518384021787,142.27846326416153,143.58911564625856,141.90862800565768,7.3605288755523315,7.6253582369344066,7.631350349112056,7.6591502031038665,19324.584525465518,17752.424701620494,18775.606412143094,17287.800137721606,5474.8183397186303,6203.9832786019833,6199.810038409918,6182.2062579098956
1,4,5651,779.0,610.0,1.0,1.4265186412488324,0.9090744289146625,1.0,0.78225359911406422,0.5723839109361003,132.03972889897364,128.24975633505119,26.0,11.097273570742212,10.198039027185569,54.955270102714053,55.012207567245987,-2.5821250410638505,352.22799999999927,0.93243131754805708,0.43744386352738346,0.01677347444832375,0.16318301117077613,0.095733626519417817,0.014145055100573843,0.011701773781318068,0.030427387685460959,0.06060534190843777,0.034211613831192186,0.0042322571150783398,0.0072082261820294131,0.0066671990836722457,0.0090972743190982797,0.0056463680018226502,0.015793852481795545,0.014696177815297255,0.0015601084909927703,0.0019690962182495162,0.0017340739108519187,0.0039065267613712972,0.0042212203296941439,0.0063663669501118373,0.0096409585515602834,0.00096854110685185924,0.0070361479259343791,0.0030209746758538278,0.005020316675547057,0.0044183727913135696,0.0021141078124069638,0.0024990760324670172,1,16.286275461316109,1338.1961125172675,0.090196080505847931,0.054901964962482452,18.147588979537524,0.074509806931018829,0.98823529481887817,0.053750084030746235,0.23680695673637719,0.13333334028720856,0.039215687662363052,0.039215687662363052,0.0052683653877445809,0.24691666624487763,0.24705883860588074,735.80263764168365,612.29769955398046,0.0,753.94284197487173,611.78003893116261,0,716.0,619.0,0.0,4,0.0006990548553074753,0.00043874643322630417,0.00054729375625902645,0.00046214697312279933,1840.2297989751683,5573.530675578897,3927.1861047836014,4326.3138771683089,0.78125548902131114,0.40529228552041252,0.574854838946528,0.52745798170262703,5.7646365047736934,6.652155566993371,6.4534081429176791,6.5237960389406613,0.00012667289021677652,5.3956629767827598e-05,6.3045056798629849e-05,6.0504539116833595e-05,11.221378259746405,11.675898781352755,11.636076545038216,11.667632888342052,-0.32604046455603791,-0.27708050359467051,-0.28931288454459125,-0.27949735646800966,0.99366201236025375,0.98823577087126824,0.9901868818685291,0.98864720855459198,0.11479326643089972,0.044853254986804064,0.059721130899116875,0.04442976162892999,128.67678360268025,139.34113153497262,139.65763097949878,138.59470229723399,7.7820508863278315,7.8671814830988946,7.8350327185208624,7.8532709116889761,14985.150556781344,13170.233832188216,14547.379594387785,13984.497477794612,4206.3450889391179,4685.9411269417824,4618.6414247928424,4577.7028387407372
1,5,8302,374.0,873.0,1.0,1.2384483490712046,0.85462777079922947,1.0,0.79635491606714626,0.61545015328123598,143.35814702931219,138.23168956501979,34.23448553724738,14.21819286796668,13.038404810405298,73.877487944349397,74.43744933594661,2.8590946129140207,411.71799999999882,0.94458982819433401,0.55285101883646903,0.0018082070934127502,0.17431457503599365,0.10896227564440261,0.0018750335740007889,0.0026145459047849815,0.010870185231991446,0.04500710097767982,0.032121093778045444,0.0020300469675689058,0.0021834164500276225,0.0012223284809459451,0.0059839040141145376,0.014796473770495195,0.0032066432023050424,0.012055477621515124,0.0012426961103864137,0.0014682116918950611,0.0015014217382754017,0.00055721396925507451,0.012070856730633324,0.012654418930810738,0.020051906757186377,0.0097390894743598043,0.0047638015790369831,0.00073183890788236429,0.0011794058431728591,0.001716571225922338,0.00080482170476132899,0.001007526918903836,1,18.513726783916354,2682.2588733900338,0.10196078568696976,0.090196087956428528,20.144064340777934,0.08235294371843338,0.98823529481887817,0.053353679492554332,0.32308586766924041,0.17647059261798859,0.023529412224888802,0.023529412224888802,0.0068181156864725893,0.3178055102466415,0.42745098471641541,379.97826412000404,872.06796728931135,0.0,400.11816429775956,871.65839556733317,0,346.0,870.0,0.0,5,0.0037267934744837296,0.0046452624383533144,0.0061489935808345907,0.0021415691266725755,2837.5389221556879,4187.9876964126879,3589.9524978342488,6333.5507290400956,0.79339933093836779,0.70655896992247502,0.74747914444191199,0.56234307720376742,5.9457299960449097,6.3365685143478654,6.3002110180415354,6.7259216252435872,0.00012441166801667919,7.6818566945921019e-05,9.1241431701987989e-05,5.3585956366612473e-05,11.282226824256826,11.500057368921965,11.486972647704073,11.637919597791676,-0.29108221827917191,-0.25287631409819677,-0.26406315108869749,-0.22506230903247687,0.98923205695420879,0.98192223648613486,0.98470403603195744,0.9735155002375695,0.16212077456549392,0.11952448007041495,0.14546020619662334,0.083893087426417726,175.92880904856946,185.929587903943,185.89387814034083,187.4137302551641,7.8980562143534438,7.8479483785120498,7.8476163565164327,8.0538992810472081,24631.287147417341,24355.994004484812,24842.966358711084,22609.442739791106,6867.2065173932424,7135.9954252243679,7108.2297141363379,7235.7483672078142
1,6,6131,756.0,989.0,1.0,1.3750734664139683,0.8954770131474391,1.0,0.7983072916666667,0.56905484222334857,133.63916407909107,127.3184982632139,27.892651361962706,11.733352612028224,11.0,58.408319504032008,59.483829108474701,-2.5298840291373583,367.95399999999904,0.92823618470855429,0.48156888641402118,0.017230944762432331,0.16144445867560189,0.10618835346707406,0.016197631880416282,0.0065718857381127866,0.020752514901127544,0.058850109280497234,0.033650140439539414,0.0066062457253245697,0.0039002733700707463,0.0027868740674460947,0.0090500599616645579,0.0027258671401302254,0.009224788279502006,0.011485191712778876,0.0011952959958464991,0.00407497412389777,0.0016236714581290288,0.0018957826521803789,0.0069647483468827072,0.0056251723824480388,0.01564529048926552,0.0057794248283028126,0.0042952079290011144,0.004902722734147158,0.005885515759758219,0.0048756753685208201,0.0026050851369186796,0.0017210933032349258,1,16.698040299117565,1673.2745463438332,0.094117648899555206,0.066666670143604279,19.549498635988186,0.078431375324726105,0.9843137264251709,0.053348371562675925,0.27292033050788339,0.14901961386203766,0.035294115543365479,0.035294115543365479,0.0064353085900252108,0.28727349332111313,0.29803922772407532,764.65159101982101,989.39196595784369,0.0,784.16750937856796,988.24661556026751,0,747.0,983.0,0.0,6,0.0021600415966123239,0.00074227234563641422,0.0020169536160232126,0.0019550593635464697,2808.7159483542473,6515.2039402468044,3890.8450964300368,4812.8429874814337,0.75344599205005935,0.47922894712223801,0.68184060314986539,0.6041105233418006,5.9235614336473095,6.6675065927926802,6.366706835876303,6.5272078181604245,0.00012150698557391644,5.4403758528746196e-05,7.0444167159940002e-05,6.0813156851723025e-05,11.153395414140201,11.478803125562889,11.38138494546752,11.410480837818172,-0.29972255703725975,-0.24145200401530095,-0.27343332441918533,-0.26060958038214493,0.99015135049983627,0.97838579440176987,0.98631122398863225,0.98349483521613534,0.14737141671172563,0.064167008225183092,0.091503184315202629,0.07819263370997942,148.76286597563185,160.23273435808622,159.79749692244573,159.13579461065135,7.786843170474298,7.9329048866487692,7.8104819629197166,7.7967266965877347,19975.062516317939,18506.171208176034,20567.61902533079,19501.230870241725,5695.9446161680416,6255.343787105704,6114.6160304402083,6078.5184644307965
2,1,2702,1118.0,110.0,1.0,1.0362782816493725,0.62404272306522401,1.0,0.71481481481481479,0.80620850846823733,66.475398586136706,69.06518659932803,26.0,9.539357873085569,8.4852813742385695,52.637467362108424,51.943226490752949,-4.0498539031255429,205.2219999999997,0.95493903516522349,0.71996934177299432,0.054512798707124714,0.17476798080385916,0.068227293881757467,0.017884712573775944,0.0055333879277433525,0.049654306356599738,0.0061823915410885444,0.014828426032950301,0.0098421327286706724,0.017640716594807697,0.0059737160959776924,0.014817091385237414,0.018956015429176017,0.0082198443137590903,0.0042665229596506194,0.010442799558034857,0.0091766526564048111,0.0047356616614645814,0.0045740850454509333,0.013885514329520031,0.0087109998133039438,0.0026531073573255073,0.0043541355951207186,0.0037774016532902636,0.0042917592609987331,0.0069157858987209248,0.0087153602391170752,0.0022631055124277548,0.003472590135836257,1,5.9411766715347767,942.22747543174773,0.29019609093666077,0.078431367874145508,2.4494184955198786,0.090196080505847931,0.77254903316497803,0.034541724834504517,0.34871483176600582,0.36078432202339172,0.0,0.0,0.023412593868525296,0.15188229774225975,0.43921568989753723,1119.6047454805439,109.18877252830988,0.0,1122.0481125092524,109.36084381939304,0,1095.0,104.0,0.0,1,0.00038108827074371545,0.00041185943899079357,0.00039334693100109619,0.00040207289637672394,2087.1774268462614,2258.3244853737815,1954.7046812749011,2053.9860589812333,0.0043160348487940609,-0.034794880267838182,0.089454627208634604,0.038122970658073123,6.463182956203692,6.5350574947369484,6.3943964776749915,6.4740723625177647,4.9284487025612321e-05,4.0877690884233919e-05,5.1654172982754521e-05,4.4830434701879462e-05,11.556703319937768,11.413321246610064,11.485001260859818,11.432392572747352,-0.31099134149855723,-0.33304950049308296,-0.3207450498344907,-0.32594223862379207,0.99288375153342667,0.99475870956010815,0.99376386901471914,0.99415423194130881,0.038887274186124005,0.029337587906691328,0.042243774493108774,0.034808778721739188,187.59451927542975,182.503250270856,186.27141434262941,183.06058981233244,7.4021670630243914,7.3698245373982392,7.4388268866197365,7.4107219643794311,2105.2721854748379,2106.4525896523992,2338.7764338562338,2216.8011546119087,1048.1124030802766,1091.1942687565534,1073.3702787827806,1067.6968033982866
2,2,2132,362.0,385.0,1.0,1.0113595723258499,0.49670655520691687,1.0,0.77527272727272722,0.89432064122319577,55.922954274619492,55.605755097831377,24.0,8.7530682156890069,7.810249675906654,48.066620434559368,48.536569017841359,-24.880288132873527,173.08199999999985,0.96711272397369019,0.87710378344472739,0.018667837971707818,0.098259058191185134,0.05469355904478692,0.010628712281715092,0.0054331230444278986,0.059834663632385848,0.028545177833020425,0.0045911583123344002,0.0035262028001794756,0.0052686764377848751,0.0032968029117953499,0.023038247643629668,0.0061563873308495311,0.0063665209754083102,0.008174926849931527,0.0042219170282471645,0.0052402601635959788,0.00076537563219706824,0.0051581269600858562,0.00051639742533484713,0.009204421705963332,0.0079944150098820461,0.003786134419462588,0.0051364693629582566,0.0037000530166274065,0.0036078292877039092,0.0030521619555275012,0.0022679806737596364,0.0049249994298646736,1,6.2352942992001772,1116.3882563840598,0.21176470816135406,0.2392156720161438,2.1927352314831503,0.070588238537311554,0.99215686321258545,0.042416968021769912,0.52363426659665091,0.62352943420410156,0.019607843831181526,0.019607843831181526,0.010669000972698172,0.30463032639561405,0.79607844352722168,359.66331558209134,385.81697982051554,0.0,361.83489681050656,385.51313320825517,0,345.0,388.0,0.0,2,0.00035892068859101265,0.00041795015706442797,0.00039179234688372814,0.00040589726959837797,8086.6495726495696,9424.4225663716825,7589.9313602015118,9181.383599722034,0.20396809713596994,0.088341602327544663,0.27026039356066073,0.11566456077015849,7.2735810658293785,7.3674922364386255,7.0702718272635225,7.3005974858389653,1.7612552947513735e-05,1.5353927080144685e-05,3.0449920996663834e-05,1.8591712015523569e-05,11.51438089010149,11.27808820906885,11.414753115889157,11.331855749902227,-0.47998671154964334,-0.50899300938752234,-0.49591927141384701,-0.49811299255819008,0.99965257061134882,0.99977358845665887,0.99973085569898834,0.99972797447998007,0.0095183028030310802,0.012253777837833425,0.046790789114815823,0.0096605415380118676,306.10378510378501,304.30752212389348,305.66057934508819,304.25364836692148,8.3760354799496728,8.3287283668809646,8.4459091838606319,8.3659824803239236,12230.751133414087,11250.915017164167,13211.821191603871,11583.098275431606,5079.3501765159381,5168.8343958839105,5200.438137951347,5191.1204687884056
2,3,1932,751.0,586.0,1.0,1.0390252145874403,0.64798995503347478,1.0,0.74022988505747123,0.86716254200728116,56.841563509778688,57.870545184921149,21.840329667841555,8.1952146879075567,7.2111025509279782,43.323203944306798,43.293313250736219,-13.504531469391686,167.32399999999996,0.96745117676514769,0.7345174083094459,0.024630646452068299,0.17229498051843348,0.073804329072284111,0.0041527214622080061,0.0094055419601468907,0.057082381384336744,0.0071054733984301215,0.020509145988654911,0.012441350855449647,0.004595344354379474,0.0013329993485119605,0.0093803224882562757,0.021998877975666541,0.011907756769842152,0.0096576132603330214,0.0039488087297563567,0.0035778403237672288,0.0040681511481599417,0.0015296767981370064,0.016286483160249242,0.012458221625765809,0.0034313449616865501,0.0069202692390457204,0.0052842500112275188,0.0058793285484965013,0.0065374951153644367,0.00070183408594296913,0.0027627093822648859,0.0019560931378174939,1,6.0588237140327692,659.85099379904568,0.20392157137393951,0.086274504661560059,0.85699492802208277,0.070588238537311554,0.60784316062927246,0.043277312243091205,0.34153778146948532,0.40392157435417175,0.019607843831181526,0.019607843831181526,0.011494666878763264,0.15973559073184282,0.46274510025978088,750.33975579242303,586.01183274453558,0.0,751.19409937888202,586.07919254658384,0,737.0,589.0,0.0,3,0.00050538264042160775,0.00059517296140109723,0.00054581597604439359,0.00057921277190141915,2358.9422818791945,3178.8802345058616,2822.4893617021285,2359.4698983580915,0.11096808252658788,-0.12975398176476463,-0.059595460925889632,0.11334234762282704,6.4040016041360444,6.6801575025633042,6.5861754717691969,6.451374600195984,6.1930075174454279e-05,3.7065363091512414e-05,4.6389473275762946e-05,5.5491098304150527e-05,11.107492720673164,10.860622629612827,10.994006840175208,10.928222377705948,-0.34220069932195418,-0.38846134754062833,-0.35813838534089382,-0.3717816809941667,0.99488805497972366,0.99733544865062784,0.99586103315146968,0.99659348903484213,0.03993202352530454,0.036845438344859323,0.032012890577328479,0.040738914730991914,193.90201342281878,190.43802345058631,194.87527512839327,189.52150117279129,7.4567741988493408,7.2966964668785348,7.3299437062240695,7.417519451651267,2947.8239556776534,2448.6816697950708,2504.9954488421281,2962.6967620936193,1326.6915593892099,1406.8904760752521,1331.871202636059,1330.5416651129271
2,4,3757,906.0,651.0,1.0,1.0685963184483542,0.67265226938857403,1.0,0.66261022927689595,0.6396684117045961,81.182304951558464,89.067390216621931,28.442925306655784,10.597299363181241,9.4339811320566032,60.811183182043088,60.071555401160019,-41.258893081952479,271.67399999999941,0.93110285006195792,0.60299520604689349,0.07362027101604722,0.196473404422257,0.051718293606025457,0.028865656429721043,0.017823075732386496,0.024983747478146513,0.020826940629064261,0.022515319708560525,0.024752113273418488,0.014153569757582016,0.0060883004001889137,0.015604672389792237,0.0058721706812415904,0.0035410353501251924,0.0095599619784410648,0.015979757392207167,0.011410594512609383,0.005149417517308936,0.00074426399673103104,0.0085736648894190245,0.0074279564431404075,0.0091928459926475768,0.0076497958813904442,0.0052407245057444615,0.010195211643966338,0.0037157541193333218,0.0043826490940904383,0.0063816737727044846,0.00039592707455082604,1,9.9372551795095205,1859.0784761514515,0.24411764740943909,0.19411763548851013,2.7516594053304906,0.070588238537311554,1.0,0.043394127421438958,0.49483057656413398,0.55098041892051697,0.015686275437474251,0.015686275437474251,0.010791177059310415,0.27198255563536,0.7137255072593689,901.35509479034795,655.60523350881328,0.0,904.00026616981631,656.36332179930798,0,895.0,634.0,0.0,4,0.00019992310649749636,0.00022312689245195728,0.0002094213097332618,0.00021222830836502084,5962.0307189542455,7202.1076864535762,5491.1985957873649,5924.3425129087782,0.25960708464253113,0.1049076362486533,0.30581929265210545,0.2806542521306552,7.1997922732399608,7.3494687953235154,7.1055387854528087,7.1661760840817239,1.8248622616768637e-05,1.377005946373312e-05,2.2065951933026484e-05,2.0381528539355722e-05,12.367426407330989,12.198193843034637,12.314405897032398,12.289733132436993,-0.39291742070193192,-0.40835005483840642,-0.3994155527539085,-0.40518423780209734,0.99881736179478298,0.99904304078684025,0.99892836823150943,0.99902921278139656,0.025135930200896012,0.012912757455405073,0.018513748608722971,0.024026340891214869,282.53790849673169,280.62899543378973,281.2902039451688,273.28984509466437,8.5190112145448094,8.4054457824966597,8.4751394921464556,8.4453392729104184,10143.014576017944,8890.3269674840994,10329.461752917428,10547.131824588723,4026.2613237429578,4023.1086634844105,3955.1650871761776,4117.868584374377
